sort_inner,sort_attribute,option_tag_attribute_value,sortClass,textCount,name_url
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
